Machi,Community,Sex.1male,ID,adol.less20,mat.20to50,old.over50,EdMes,LabMes,FamMat,EmpMat,ComMes,CtyMat,Target,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
0,B,0,195,0,1,0,1,1,1,1,1,1,2,0,1,1,0,1,1,1,0,1,1,1,0,1,1
0,B,1,182,0,0,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,1,0,1,0,1,1
0,B,1,247,0,0,1,1,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1,1,1
1,B,1,227,0,1,0,1,1,1,0,1,1,2,1,1,0,1,0,0,0,1,1,1,1,0,1,0
0,B,0,228,0,0,1,1,1,0,1,1,1,2,0,1,1,1,0,0,0,1,1,0,1,0,0,1
0,B,1,248,0,1,0,1,1,0,1,1,0,2,0,1,1,1,0,0,0,0,1,1,1,0,1,1
0,B,0,177,0,1,0,1,1,0,1,1,0,2,0,1,1,0,0,1,1,1,1,1,1,0,1,1
0,B,1,178,0,1,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,B,1,246,0,0,1,1,1,1,0,1,1,2,0,1,1,0,0,0,0,1,1,1,1,0,1,1
1,B,0,189,0,1,0,1,1,1,1,1,1,2,0,1,0,0,0,0,1,0,0,1,1,1,0,1
0,B,1,216,0,0,1,1,1,0,0,1,0,2,1,0,1,0,0,0,1,1,1,0,1,0,1,1
0,B,1,234,0,0,1,1,1,0,1,1,1,2,1,1,1,1,0,0,1,0,1,1,0,0,1,0
0,B,0,202,0,1,0,1,1,1,1,1,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1
0,B,0,240,0,0,1,1,1,1,1,1,1,2,1,1,0,1,0,0,0,1,1,0,1,1,1,1
0,B,0,254,0,1,0,1,1,1,1,1,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1,1
0,B,1,236,0,0,1,1,1,1,1,1,1,2,0,1,1,0,0,0,0,1,0,1,1,0,1,1
0,B,0,183,0,1,0,1,1,0,1,1,0,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1
0,B,0,176,0,1,0,1,1,1,1,1,1,2,1,0,1,1,0,0,0,1,1,1,1,0,1,1
0,B,1,198,0,1,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,1,1,0,1,1,1
0,B,1,180,0,0,1,1,1,0,1,1,1,2,0,1,0,0,0,0,0,1,1,1,1,0,1,1
0,B,0,260,0,0,1,1,1,1,1,1,1,2,0,1,1,0,0,0,0,0,1,0,0,1,1,1
0,B,0,181,0,0,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,1,1,1,1,0,1,1
0,B,1,179,0,0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,1,0,1,1,1,1,1,1
0,B,1,261,0,1,0,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0,1,1
0,B,0,262,0,1,0,1,1,0,0,1,0,2,0,0,1,1,0,0,1,1,1,1,1,1,1,1
0,B,0,241,0,1,0,1,1,0,1,1,1,2,0,1,1,1,0,0,1,1,1,1,1,0,1,1
1,T,1,38,0,0,1,0,1,1,0,1,1,2,1,1,1,1,0,1,1,0,1,1,1,1,0,1
1,T,0,27,0,0,1,0,0,1,0,0,1,2,1,1,0,0,0,1,1,1,0,0,1,1,1,1
1,T,1,78,0,1,0,0,1,1,0,1,1,2,1,1,0,1,0,0,1,0,0,1,1,0,1,1
1,T,1,4,0,1,0,0,1,1,0,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,0
1,T,1,109,0,1,0,1,1,1,0,1,1,2,1,1,1,1,1,0,0,0,0,0,1,1,1,0
1,T,1,55,0,1,0,0,1,1,0,1,1,2,0,1,0,1,0,0,1,0,0,1,1,0,1,1
1,T,0,120,0,1,0,0,0,1,0,1,1,2,0,1,1,1,1,1,1,0,0,0,1,1,1,0
1,T,0,122,0,1,0,0,0,1,0,1,1,2,1,1,1,0,0,1,1,0,0,0,1,1,1,1
1,T,0,31,1,0,0,0,0,1,0,1,1,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0
1,T,1,161,0,1,0,1,1,1,0,1,1,2,0,1,0,0,0,0,0,1,1,0,1,1,1,0
